"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Croatia","HRV","Employers, female (% of female employment) (modeled ILO estimate)","SL.EMP.MPYR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.56004213315794","2.58989432682944","2.64291441905534","2.81810520242652","3.03702413393211","3.13147699203823","2.69624069867675","3.09133578106666","3.23876953574307","3.18499055299412","2.52458740788478","3.713603283672","2.77629003653013","2.79498250628432","2.84179943453991","3.17321057956194","2.95117017463","3.00292818986789","2.57984379085935","2.87442554195058","3.04091964032538","2.93918590943763","2.44157945068324","3.09779900131566","3.2303397407605","3.36907769242666","3.37254242535859","3.36788277378783","3.05643091517495","2.90922695325346","3.14946213756686","3.46218409027324","",
"Croatia","HRV","Employment to population ratio, ages 15-24, male (%) (national estimate)","SL.EMP.1524.SP.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.587","28.488","31.855","30.032","29.07","32.404","34.201","32.309","27.908","23.786","20.032","17.375","21.214","22.376","28.839","29.839","30.494","33.181","31.883","31.114","34.07","30.68",
"Croatia","HRV","Employment in agriculture, male (% of male employment) (modeled ILO estimate)","SL.AGR.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.3083823318955","21.1669298747582","20.7283957047337","19.9558765617728","19.417644666957","18.8859467571028","16.7913612705605","16.549102544413","16.3934560721461","16.2675827281068","16.0420335914516","15.8259403988664","16.2826308961939","16.0317920298514","16.0189359833892","13.6784521645797","11.3988194339337","11.8794179746178","12.6196257969934","13.2161177019205","13.9392372191289","12.3225552276933","11.5571463871622","10.8202122913336","10.7639060398213","9.34118962330877","8.5336396514035","7.23155387078494","7.69059462677358","8.11266172520838","8.36153789427224","7.5420441686959","",
"Croatia","HRV","Child employment in agriculture, female (% of female economically active children ages 7-14)","SL.AGR.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Croatia","HRV","Survey mean consumption or income per capita, bottom 40% of population (2017 PPP $ per day)","SI.SPR.PC40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.39","","","","","17.48","","",
"Croatia","HRV","Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population)","SI.POV.UMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.1","6.6","7.5","8.1","7.8","6.6","5.8","4.7","4.2","2.7","2.4","2.1","1.8","","",
"Croatia","HRV","Multidimensional poverty headcount ratio (UNDP) (% of population)","SI.POV.MPUN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Croatia","HRV","Poverty gap at $2.15 a day (2017 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.6","0.9","0.4","0.5","0.4","0.5","0.4","0.3","0.3","0.2","0.2","0.2","0.2","","",
"Croatia","HRV","Proportion of people living below 50 percent of median income (%)","SI.DST.50MD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.7","13.9","14.4","14.5","13.7","13.7","13.9","14.1","13.2","11.5","11.3","11.6","10.9","","",
"Croatia","HRV","Income share held by third 20%","SI.DST.03RD.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.3","17.4","17.5","17.3","17.5","17.5","17.8","17.8","18","17.8","18.1","17.9","17.9","","",
"Croatia","HRV","Domestic private health expenditure (% of current health expenditure)","SH.XPD.PVTD.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.97","17.8","20.99","18.67","20.18","15.01","15.34","13.57","16.17","17.17","16.59","18.03","17.35","14.95","15.96","16.88","17.15","17.15","17.55","18.45","18.22","15.89","","",
"Croatia","HRV","Domestic general government health expenditure per capita, PPP (current international $)","SH.XPD.GHED.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","690","687","620","701","763","898","1030","1249","1345","1353","1333","1322","1359","1208","1240","1291","1402","1490","1602","1747","1871","2273","","",
"Croatia","HRV","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.03","82.2","79.01","81.33","79.82","84.99","84.66","86.43","83.83","82.83","83.41","81.97","82.65","85.05","84.04","83.11","82.85","82.85","82.45","81.54","81.78","84.1","","",
"Croatia","HRV","Current health expenditure per capita, PPP (current international $)","SH.XPD.CHEX.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","811","836","784","862","955","1057","1217","1445","1604","1633","1599","1613","1644","1420","1475","1553","1692","1798","1943","2143","2288","2703","","",
"Croatia","HRV","Proportion of population pushed or further pushed below the 60% median consumption poverty line by out-of-pocket health expenditure (%)","SH.UHC.TOTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.27","","","","","12.49","","","","14.47","14.03","11.21","","","","","","","","","","","","","",
"Croatia","HRV","Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%)","SH.UHC.OOPC.25.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.15","","","","","0.14","","","","0.3","0.13","0.26","","","","","","","","","","","","","",
