,Song,Artist,Country,Year,Language,Grand Final Place,Grand Final Points,Semifinal,Semifinal Place,Semifinal Points
480,Kinder dieser Welt,Gary Lux,Austria,1985,['German'],8.0,60.0,,,
481,Laat me nu gaan,Linda Lepomme,Belgium,1985,['Dutch'],19.0,7.0,,,
482,To katalava arga (Το κατάλαβα αργά),Lia Vissi,Cyprus,1985,['Greek'],16.0,15.0,,,
483,Sku' du spørg' fra no'en?,Hot Eyes,Denmark,1985,['Danish'],11.0,41.0,,,
484,Eläköön elämä,Sonja Lumme,Finland,1985,['Finnish'],9.0,58.0,,,
485,Femme dans ses rêves aussi,Roger Bens,France,1985,['French'],10.0,56.0,,,
486,Für alle,Wind,Germany,1985,['German'],2.0,105.0,,,
487,Miazoume (Μοιάζουμε),Takis Biniaris,Greece,1985,['Greek'],16.0,15.0,,,
488,Wait Until the Weekend Comes,Maria Christian,Ireland,1985,['English'],6.0,91.0,,,
489,"Olé, Olé (עולה, עולה)",Izhar Cohen,Israel,1985,['Hebrew'],5.0,93.0,,,
490,Magic Oh Magic,Al Bano & Romina Power,Italy,1985,['Italian'],7.0,78.0,,,
491,"Children, Kinder, Enfants","Margo, Franck Olivier, Diane Solomon, Ireen Sheer, Chris & Malcolm Roberts",Luxembourg,1985,['French'],13.0,37.0,,,
492,La det swinge,Bobbysocks!,Norway,1985,['Norwegian'],1.0,123.0,,,
493,"Penso em ti, eu sei",Adelaide,Portugal,1985,['Portuguese'],18.0,9.0,,,
494,La fiesta terminó,Paloma San Basilio,Spain,1985,['Spanish'],14.0,36.0,,,
495,Bra vibrationer,Kikki Danielsson,Sweden,1985,['Swedish'],3.0,103.0,,,
496,"Piano, piano",Mariella Farré & Pino Gasparini,Switzerland,1985,['German'],12.0,39.0,,,
497,Didai didai dai,MFÖ,Turkey,1985,['Turkish'],14.0,36.0,,,
498,Love Is…,Vikki,United Kingdom,1985,['English'],4.0,100.0,,,
499,Die Zeit ist einsam,Timna Brauer,Austria,1986,['German'],18.0,12.0,,,
500,J'aime la vie,Sandra Kim,Belgium,1986,['French'],1.0,176.0,,,
501,Tora zo (Τώρα ζω),Elpida,Cyprus,1986,['Greek'],20.0,4.0,,,
502,Du er fuld af løgn,Lise Haavik,Denmark,1986,['Danish'],6.0,77.0,,,
503,Never the End,Kari Kuivalainen,Finland,1986,['Finnish'],15.0,22.0,,,
504,Européennes,Cocktail Chic,France,1986,['French'],17.0,13.0,,,
505,Über die Brücke geh'n,Ingrid Peters,Germany,1986,['German'],8.0,62.0,,,
506,Gleðibankinn,ICY,Iceland,1986,['Icelandic'],16.0,19.0,,,
507,You Can Count On Me,Luv Bug,Ireland,1986,['English'],4.0,96.0,,,
508,Yavo Yom (יבוא יום),Moti Giladi & Sarai Tzuriel,Israel,1986,['Hebrew'],19.0,7.0,,,
509,L'amour de ma vie,Sherisse Laurence,Luxembourg,1986,['French'],3.0,117.0,,,
510,Alles heeft ritme,Frizzle Sizzle,Netherlands,1986,['Dutch'],13.0,40.0,,,
511,Romeo,Ketil Stokkan,Norway,1986,['Norwegian'],12.0,44.0,,,
512,Não sejas mau para mim,Dora,Portugal,1986,['Portuguese'],14.0,28.0,,,
513,Valentino,Cadillac,Spain,1986,['Spanish'],10.0,51.0,,,
514,E' de' det här du kallar kärlek?,Lasse Holm & Monica Törnell,Sweden,1986,['Swedish'],5.0,78.0,,,
515,Pas pour moi,Daniela Simmons,Switzerland,1986,['French'],2.0,140.0,,,
516,Halley,Klips ve Onlar,Turkey,1986,['Turkish'],9.0,53.0,,,
517,Runner in the Night,Ryder,United Kingdom,1986,['English'],7.0,72.0,,,
518,Željo moja,Doris Dragović,Yugoslavia,1986,['Serbo-Croatian'],11.0,49.0,,,
519,Nur noch Gefühl,Gary Lux,Austria,1987,['German'],20.0,8.0,,,
520,Soldiers of Love,Liliane Saint-Pierre,Belgium,1987,['Dutch'],11.0,56.0,,,
521,Aspro-mavro (Άσπρο-μαύρο),Alexia,Cyprus,1987,['Greek'],7.0,80.0,,,
522,En lille melodi,Anne-Cathrine Herdorf & Bandjo,Denmark,1987,['Danish'],5.0,83.0,,,
523,Sata salamaa,Vicky Rosti & Boulevard,Finland,1987,['Finnish'],15.0,32.0,,,
524,Les mots d'amour n'ont pas de dimanche,Christine Minier,France,1987,['French'],14.0,44.0,,,
525,Lass die Sonne in dein Herz,Wind,Germany,1987,['German'],2.0,141.0,,,
526,Stop (Στοπ),Bang,Greece,1987,['Greek'],10.0,64.0,,,
527,Hægt og hljótt,Halla Margrét,Iceland,1987,['Icelandic'],16.0,28.0,,,
528,Hold Me Now,Johnny Logan,Ireland,1987,['English'],1.0,172.0,,,
529,Shir Habatlanim (שיר הבטלנים),"Natan Datner and Avi Kushnir (as ""Lazy Bums"")",Israel,1987,['Hebrew'],8.0,73.0,,,
530,Gente di mare,Umberto Tozzi & Raf,Italy,1987,['Italian'],3.0,103.0,,,
531,"Amour, amour",Plastic Bertrand,Luxembourg,1987,['French'],21.0,4.0,,,
532,Rechtop in de wind,Marcha,Netherlands,1987,['Dutch'],5.0,83.0,,,
533,Mitt liv,Kate Gulbrandsen,Norway,1987,['Norwegian'],9.0,65.0,,,
534,Neste barco à vela,Nevada,Portugal,1987,['Portuguese'],18.0,15.0,,,
535,No estás solo,Patricia Kraus,Spain,1987,['Spanish'],19.0,10.0,,,
536,Boogaloo,Lotta Engberg,Sweden,1987,['Swedish'],12.0,50.0,,,
537,"Moitié, moitié",Carol Rich,Switzerland,1987,['French'],17.0,26.0,,,
538,Şarkım Sevgi Üstüne,Seyyal Taner & Lokomotif,Turkey,1987,['Turkish'],22.0,0.0,,,
539,Only the Light,Rikki,United Kingdom,1987,['English'],13.0,47.0,,,
540,Ja sam za ples,Novi fosili,Yugoslavia,1987,['Serbo-Croatian'],4.0,92.0,,,
541,Lisa Mona Lisa,Wilfried,Austria,1988,['German'],21.0,0.0,,,
542,Laissez briller le soleil,Reynaert,Belgium,1988,['French'],18.0,5.0,,,
543,Ka' du se hva' jeg sa'?,Hot Eyes,Denmark,1988,['Danish'],3.0,92.0,,,
544,Nauravat silmät muistetaan,Boulevard,Finland,1988,['Finnish'],20.0,3.0,,,
545,Chanteur de charme,Gérard Lenorman,France,1988,['French'],10.0,64.0,,,
546,Lied für einen Freund,Maxi & Chris Garden,Germany,1988,['German'],14.0,48.0,,,
547,Clown (Κλόουν),Afroditi Frida,Greece,1988,['Greek'],17.0,10.0,,,
548,Þú og þeir (Sókrates),Beathoven,Iceland,1988,['Icelandic'],16.0,20.0,,,
549,Take Him Home,Jump the Gun,Ireland,1988,['English'],8.0,79.0,,,
550,Ben Adam (בן אדם),Yardena Arazi,Israel,1988,['Hebrew'],7.0,85.0,,,
551,Vivo (Ti scrivo),Luca Barbarossa,Italy,1988,['Italian'],12.0,52.0,,,
552,Croire,Lara Fabian,Luxembourg,1988,['French'],4.0,90.0,,,
553,Shangri-La,Gerard Joling,Netherlands,1988,['Dutch'],9.0,70.0,,,
554,For vår jord,Karoline Krüger,Norway,1988,['Norwegian'],5.0,88.0,,,
555,Voltarei,Dora,Portugal,1988,['Portuguese'],18.0,5.0,,,
556,La chica que yo quiero (Made in Spain),La Década,Spain,1988,['Spanish'],11.0,58.0,,,
557,Stad i ljus,Tommy Körberg,Sweden,1988,['Swedish'],12.0,52.0,,,
558,Ne partez pas sans moi,Céline Dion,Switzerland,1988,['French'],1.0,137.0,,,
559,Sufi,MFÖ,Turkey,1988,['Turkish'],15.0,37.0,,,
560,Go,Scott Fitzgerald,United Kingdom,1988,['English'],2.0,136.0,,,
561,Mangup,Srebrna krila,Yugoslavia,1988,['Serbo-Croatian'],6.0,87.0,,,
562,Nur ein Lied,Thomas Forstner,Austria,1989,['German'],5.0,97.0,,,
563,Door de wind,Ingeborg,Belgium,1989,['Dutch'],19.0,13.0,,,
564,Apopse as vrethume (Απόψε ας βρεθούμε),Fani Polymeri & Yiannis Savvidakis,Cyprus,1989,['Greek'],11.0,51.0,,,
565,Vi maler byen rød,Birthe Kjær,Denmark,1989,['Danish'],3.0,111.0,,,
566,La dolce vita,Anneli Saaristo,Finland,1989,['Finnish'],7.0,76.0,,,
567,J'ai volé la vie,Nathalie Pâque,France,1989,['French'],8.0,60.0,,,
568,Flieger,Nino de Angelo,Germany,1989,['German'],14.0,46.0,,,
569,To diko sou asteri (Το δικό σου αστέρι),Marianna Efstratiou,Greece,1989,['Greek'],9.0,56.0,,,
570,Það sem enginn sér,Daníel Ágúst Haraldsson,Iceland,1989,['Icelandic'],22.0,0.0,,,
571,The Real Me,Kiev Connolly & The Missing Passengers,Ireland,1989,['English'],18.0,21.0,,,
572,Derekh Hamelekh (דרך המלך),Gili Netanel & Galit Burg-Michael,Israel,1989,['Hebrew'],12.0,50.0,,,
573,Avrei voluto,Anna Oxa & Fausto Leali,Italy,1989,['Italian'],9.0,56.0,,,
574,Monsieur,Park Café,Luxembourg,1989,['French'],20.0,8.0,,,
575,Blijf zoals je bent,Justine Pelmelay,Netherlands,1989,['Dutch'],15.0,45.0,,,
576,Venners nærhet,Britt Synnøve Johansen,Norway,1989,['Norwegian'],17.0,30.0,,,
577,Conquistador,Da Vinci,Portugal,1989,['Portuguese'],16.0,39.0,,,
578,Nacida para amar,Nina,Spain,1989,['Spanish'],6.0,88.0,,,
579,En dag,Tommy Nilsson,Sweden,1989,['Swedish'],4.0,110.0,,,
580,Viver senza tei,Furbaz,Switzerland,1989,['Romansh'],13.0,47.0,,,
581,Bana Bana,Pan,Turkey,1989,['Turkish'],21.0,5.0,,,
582,Why Do I Always Get it Wrong?,Live Report,United Kingdom,1989,['English'],2.0,130.0,,,
583,Rock Me,Riva,Yugoslavia,1989,['Serbo-Croatian'],1.0,137.0,,,
