,Song,Artist,Country,Year,Language,Grand Final Place,Grand Final Points,Semifinal,Semifinal Place,Semifinal Points
359,Dai li dou,Gemini,Portugal,1978,['Portuguese'],17.0,5.0,,,
360,Bailemos un vals,José Vélez,Spain,1978,['Spanish'],9.0,65.0,,,
361,Det blir alltid värre framåt natten,Björn Skifs,Sweden,1978,['Swedish'],14.0,26.0,,,
362,Vivre,Carole Vinci,Switzerland,1978,['French'],9.0,65.0,,,
363,Sevince,Nilüfer & Nazar,Turkey,1978,['Turkish'],18.0,2.0,,,
364,The Bad Old Days,Co-Co,United Kingdom,1978,['English'],11.0,61.0,,,
365,Heute in Jerusalem,Christina Simon,Austria,1979,['German'],18.0,5.0,,,
366,Hey Nana,Micha Marah,Belgium,1979,['Dutch'],18.0,5.0,,,
367,Disco Tango,Tommy Seebach,Denmark,1979,['Danish'],6.0,76.0,,,
368,Katson sineen taivaan,Katri Helena,Finland,1979,['Finnish'],14.0,38.0,,,
369,Je suis l'enfant soleil,Anne-Marie David,France,1979,['French'],3.0,106.0,,,
370,Dschinghis Khan,Dschinghis Khan,Germany,1979,['German'],4.0,86.0,,,
371,Sokrati (Σωκράτη),Elpida,Greece,1979,['Greek'],8.0,69.0,,,
372,Happy Man,Cathal Dunne,Ireland,1979,['English'],5.0,80.0,,,
373,Hallelujah (הללויה),Milk and Honey,Israel,1979,['Hebrew'],1.0,125.0,,,
374,Raggio di luna,Matia Bazar,Italy,1979,['Italian'],15.0,27.0,,,
375,J'ai déjà vu ça dans tes yeux,Jeane Manson,Luxembourg,1979,['French'],13.0,44.0,,,
376,Notre vie c'est la musique,Laurent Vaguener,Monaco,1979,['French'],16.0,12.0,,,
377,Colorado,Xandra,Netherlands,1979,['Dutch'],12.0,51.0,,,
378,Oliver,Anita Skorgan,Norway,1979,['Norwegian'],11.0,57.0,,,
379,"Sobe, sobe, balão sobe",Manuela Bravo,Portugal,1979,['Portuguese'],9.0,64.0,,,
380,Su canción,Betty Missiego,Spain,1979,['Spanish'],2.0,116.0,,,
381,Satellit,Ted Gärdestad,Sweden,1979,['Swedish'],17.0,8.0,,,
382,Trödler und Co,"Peter, Sue, Marc, Pfuri, Gorps and Kniri",Switzerland,1979,['German'],10.0,60.0,,,
383,Mary Ann,Black Lace,United Kingdom,1979,['English'],7.0,73.0,,,
384,Du bist Musik,Blue Danube,Austria,1980,['German'],8.0,64.0,,,
385,Euro-Vision,Telex,Belgium,1980,['French'],17.0,14.0,,,
386,Tænker altid på dig,Bamses Venner,Denmark,1980,['Danish'],14.0,25.0,,,
387,Huilumies,Vesa-Matti Loiri,Finland,1980,['Finnish'],19.0,6.0,,,
388,"Hé, hé, m'sieurs dames",Profil,France,1980,['French'],11.0,45.0,,,
389,Theater,Katja Ebstein,Germany,1980,['German'],2.0,128.0,,,
390,Autostop (Ωτοστόπ),Anna Vissi and the Epikouri,Greece,1980,['Greek'],13.0,30.0,,,
391,What's Another Year,Johnny Logan,Ireland,1980,['English'],1.0,143.0,,,
392,Non so che darei,Alan Sorrenti,Italy,1980,['Italian'],6.0,87.0,,,
393,Papa pingouin,Sophie & Magaly,Luxembourg,1980,['French'],9.0,56.0,,,
394,Bitaqat Hub (بطاقة حب),Samira Bensaïd,Morocco,1980,['Arabic'],18.0,7.0,,,
395,Amsterdam,Maggie MacNeal,Netherlands,1980,['Dutch'],5.0,93.0,,,
396,Sámiid ædnan,Sverre Kjelsberg & Mattis Hætta,Norway,1980,"['Norwegian', 'Northern Sami']",16.0,15.0,,,
397,"Um grande, grande amor",José Cid,Portugal,1980,['Portuguese'],7.0,71.0,,,
398,Quédate esta noche,Trigo Limpio,Spain,1980,['Spanish'],12.0,38.0,,,
399,Just nu!,Tomas Ledin,Sweden,1980,['Swedish'],10.0,47.0,,,
400,Cinéma,Paola,Switzerland,1980,['French'],4.0,104.0,,,
401,Pet'r Oil,Ajda Pekkan,Turkey,1980,['Turkish'],15.0,23.0,,,
402,Love Enough for Two,Prima Donna,United Kingdom,1980,['English'],3.0,106.0,,,
403,Wenn du da bist,Marty Brem,Austria,1981,['German'],17.0,20.0,,,
404,Samson,Emly Starr,Belgium,1981,['Dutch'],13.0,40.0,,,
405,Monika (Μόνικα),Island,Cyprus,1981,['Greek'],6.0,69.0,,,
406,Krøller eller ej,Tommy Seebach & Debbie Cameron,Denmark,1981,['Danish'],11.0,41.0,,,
407,Reggae OK,Riki Sorsa,Finland,1981,['Finnish'],16.0,27.0,,,
408,Humanahum,Jean Gabilou,France,1981,['French'],3.0,125.0,,,
409,Johnny Blue,Lena Valaitis,Germany,1981,['German'],2.0,132.0,,,
410,Feggari kalokerino (Φεγγάρι καλοκαιρινό),Yiannis Dimitras,Greece,1981,['Greek'],8.0,55.0,,,
411,Horoscopes,Sheeba,Ireland,1981,['English'],5.0,105.0,,,
412,Halayla (הלילה),Hakol Over Habibi,Israel,1981,['Hebrew'],7.0,56.0,,,
413,C'est peut-être pas l'Amérique,Jean-Claude Pascal,Luxembourg,1981,['French'],11.0,41.0,,,
414,Het is een wonder,Linda Williams,Netherlands,1981,['Dutch'],9.0,51.0,,,
415,Aldri i livet,Finn Kalvik,Norway,1981,['Norwegian'],20.0,0.0,,,
416,Playback,Carlos Paião,Portugal,1981,['Portuguese'],18.0,9.0,,,
417,Y sólo tú,Bacchelli,Spain,1981,['Spanish'],14.0,38.0,,,
418,Fångad i en dröm,Björn Skifs,Sweden,1981,['Swedish'],10.0,50.0,,,
419,Io senza te,"Peter, Sue and Marc",Switzerland,1981,['Italian'],4.0,121.0,,,
420,Dönme Dolap,Modern Folk Üçlüsü & Ayşegül,Turkey,1981,['Turkish'],18.0,9.0,,,
421,Making Your Mind Up,Bucks Fizz,United Kingdom,1981,['English'],1.0,136.0,,,
422,Lejla,"Seid Memić ""Vajta""",Yugoslavia,1981,['Serbo-Croatian'],15.0,35.0,,,
423,Sonntag,Mess,Austria,1982,['German'],9.0,57.0,,,
424,Si tu aimes ma musique,Stella,Belgium,1982,['French'],4.0,96.0,,,
425,Mono i agapi (Μόνο η αγάπη),Anna Vissi,Cyprus,1982,['Greek'],5.0,85.0,,,
426,"Video, Video",Brixx,Denmark,1982,['Danish'],17.0,5.0,,,
427,Nuku pommiin,Kojo,Finland,1982,['Finnish'],18.0,0.0,,,
428,Ein bißchen Frieden,Nicole,Germany,1982,['German'],1.0,161.0,,,
429,Here Today Gone Tomorrow,The Duskeys,Ireland,1982,['English'],11.0,49.0,,,
430,Hora (הורה),Avi Toledano,Israel,1982,['Hebrew'],2.0,100.0,,,
431,Cours après le temps,Svetlana,Luxembourg,1982,['French'],6.0,78.0,,,
432,Jij en ik,Bill van Dijk,Netherlands,1982,['Dutch'],16.0,8.0,,,
433,Adieu,Jahn Teigen & Anita Skorgan,Norway,1982,['Norwegian'],12.0,40.0,,,
434,Bem bom,Doce,Portugal,1982,['Portuguese'],13.0,32.0,,,
435,Él,Lucía,Spain,1982,['Spanish'],10.0,52.0,,,
436,Dag efter dag,Chips,Sweden,1982,['Swedish'],8.0,67.0,,,
437,Amour on t'aime,Arlette Zola,Switzerland,1982,['French'],3.0,97.0,,,
438,Hani?,Neco,Turkey,1982,['Turkish'],15.0,20.0,,,
439,One Step Further,Bardo,United Kingdom,1982,['English'],7.0,76.0,,,
440,"Halo, halo (Хало, хало)",Aska,Yugoslavia,1982,['Serbo-Croatian'],14.0,21.0,,,
441,Hurricane,Westend,Austria,1983,['German'],9.0,53.0,,,
442,Rendez-vous,Pas de Deux,Belgium,1983,['Dutch'],18.0,13.0,,,
443,I agapi akoma zi (Η αγάπη ακόμα ζει),Stavros & Constantina,Cyprus,1983,['Greek'],16.0,26.0,,,
444,Kloden drejer,Gry Johansen,Denmark,1983,['Danish'],17.0,16.0,,,
445,Fantasiaa,Ami Aspelund,Finland,1983,['Finnish'],11.0,41.0,,,
446,Vivre,Guy Bonnet,France,1983,['French'],8.0,56.0,,,
447,Rücksicht,Hoffmann & Hoffmann,Germany,1983,['German'],5.0,94.0,,,
448,Mou les (Μου λες),Christie Stasinopoulou,Greece,1983,['Greek'],14.0,32.0,,,
449,Hi (חי),Ofra Haza,Israel,1983,['Hebrew'],2.0,136.0,,,
450,Per Lucia,Riccardo Fogli,Italy,1983,['Italian'],11.0,41.0,,,
451,Si la vie est cadeau,Corinne Hermès,Luxembourg,1983,['French'],1.0,142.0,,,
452,Sing Me a Song,Bernadette,Netherlands,1983,['Dutch'],7.0,66.0,,,
453,Do Re Mi,Jahn Teigen,Norway,1983,['Norwegian'],9.0,53.0,,,
454,Esta balada que te dou,Armando Gama,Portugal,1983,['Portuguese'],13.0,33.0,,,
455,¿Quién maneja mi barca?,Remedios Amaya,Spain,1983,['Spanish'],19.0,0.0,,,
456,Främling,Carola Häggkvist,Sweden,1983,['Swedish'],3.0,126.0,,,
457,Io così non ci sto,Mariella Farré,Switzerland,1983,['Italian'],15.0,28.0,,,
458,Opera,Çetin Alp & the Short Waves,Turkey,1983,['Turkish'],19.0,0.0,,,
459,I'm Never Giving Up,Sweet Dreams,United Kingdom,1983,['English'],6.0,79.0,,,
460,Džuli,Daniel,Yugoslavia,1983,['Serbo-Croatian'],4.0,125.0,,,
461,Einfach weg,Anita,Austria,1984,['German'],19.0,5.0,,,
462,Avanti la vie,Jacques Zegers,Belgium,1984,['French'],5.0,70.0,,,
463,Anna Maria Lena (Άννα Μαρία Λένα),Andy Paul,Cyprus,1984,['Greek'],15.0,31.0,,,
464,Det' lige det,Hot Eyes,Denmark,1984,['Danish'],4.0,101.0,,,
465,Hengaillaan,Kirka,Finland,1984,['Finnish'],9.0,46.0,,,
466,Autant d'amoureux que d'étoiles,Annick Thoumazeau,France,1984,['French'],8.0,61.0,,,
467,Aufrecht geh'n,Mary Roos,Germany,1984,['German'],13.0,34.0,,,
468,Terminal 3,Linda Martin,Ireland,1984,['English'],2.0,137.0,,,
469,I treni di Tozeur,Alice & Franco Battiato,Italy,1984,['Italian'],5.0,70.0,,,
470,100% d'amour,Sophie Carle,Luxembourg,1984,['French'],10.0,39.0,,,
471,Ik hou van jou,Maribelle,Netherlands,1984,['Dutch'],13.0,34.0,,,
472,Lenge leve livet,Dollie de Luxe,Norway,1984,['Norwegian'],17.0,29.0,,,
473,Silêncio e tanta gente,Maria Guinot,Portugal,1984,['Portuguese'],11.0,38.0,,,
474,"Lady, Lady",Bravo,Spain,1984,['Spanish'],3.0,106.0,,,
475,Diggi-Loo Diggi-Ley,Herreys,Sweden,1984,['Swedish'],1.0,145.0,,,
476,Welche Farbe hat der Sonnenschein?,Rainy Day,Switzerland,1984,['German'],16.0,30.0,,,
477,Halay,"Beş Yıl Önce, On Yıl Sonra",Turkey,1984,['Turkish'],12.0,37.0,,,
478,Love Games,Belle and the Devotions,United Kingdom,1984,['English'],7.0,63.0,,,
479,"Ciao, amore",Vlado & Isolda,Yugoslavia,1984,['Serbo-Croatian'],18.0,26.0,,,
